[2026-04-01T18:47:43.096Z] GET http://localhost:4000/ → pending (?ms, ?B)
[2026-04-01T19:05:27.773Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459WlhyyTh89Y.woff2 → 200 (?ms, ?B)
[2026-04-01T19:05:27.774Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFRD-vYSZviVYUb_rj3ij__anPXDTnCjmHKM4nYO7KN_k-UXtHA-X-uE0qEEw.woff2 → 200 (?ms, ?B)
[2026-04-01T19:05:27.963Z] GET http://localhost:4000/img/taylor-1.png → 304 (2ms, ?B)
[2026-04-01T19:05:27.963Z] GET http://localhost:4000/img/taylor-2.png → 304 (4ms, ?B)
[2026-04-01T19:05:27.963Z] GET http://localhost:4000/img/taylor-3.png → 304 (4ms, ?B)
[2026-04-01T19:05:27.963Z] GET http://localhost:4000/img/taylor-4.avif → 304 (4ms, ?B)
[2026-04-01T19:05:27.963Z] GET http://localhost:4000/img/taylor-5.webp → 304 (4ms, ?B)
[2026-04-01T19:05:27.964Z] GET http://localhost:4000/img/taylor-6.png → 304 (3ms, ?B)
[2026-04-01T19:05:27.964Z] GET http://localhost:4000/img/taylor-7.png → 304 (3ms, ?B)
[2026-04-01T19:05:27.964Z] GET http://localhost:4000/img/taylor-8.png → 304 (3ms, ?B)
[2026-04-01T19:05:27.964Z] GET http://localhost:8080/top_songs?page=1&page_size=10 → 200 (140ms, 1451B)
[2026-04-01T19:05:27.964Z] GET http://localhost:8080/top_albums?page=1&page_size=5 → 200 (148ms, 422B)
[2026-04-01T19:05:27.964Z] GET http://localhost:8080/random → 200 (162ms, 63B)
[2026-04-01T19:05:27.964Z] GET http://localhost:8080/author/name → 200 (6ms, 20B)
[2026-04-01T19:05:27.964Z] GET http://localhost:8080/top_songs?page=1&page_size=10 → 200 (128ms, 1451B)
[2026-04-01T19:05:27.964Z] GET http://localhost:8080/top_albums?page=1&page_size=5 → 200 (134ms, 422B)
[2026-04-01T19:05:27.965Z] GET http://localhost:8080/random → 200 (147ms, 58B)
